area_nr,fama,bt,altit,exp,north,east,sl_deg,pH_H2O,pH_KCl,pH_CaCl2,EC,Ntot,Ctot,CN,Al,Fe,Mn,Ca,K,Mg,Na,BS,CEC,P,sand,silt,clay,soil_type,total_cov,total_rich
B03,B,wall,1820.00,220.00,-0.77,-0.64,67.50,4.96,4.09,4.24,83.00,0.11,1.20,10.71,19.26,0.01,0.71,10.02,3.22,3.08,0.00,43.47,37.39,11.84,60.63,26.12,13.25,Sl4,80,29
B03,B,wall,1820.00,235.00,-0.57,-0.82,87.50,5.46,4.16,4.48,51.00,0.06,0.56,9.12,11.86,0.02,0.23,16.47,2.83,3.70,1.04,64.83,37.07,4.90,54.78,28.12,17.09,Ls4,100,20
B04,B,wall,1796.00,237.50,-0.54,-0.84,87.00,5.54,4.11,4.37,58.00,0.05,0.31,5.92,7.99,0.01,0.23,9.07,3.65,3.71,0.25,65.03,25.64,13.57,62.73,25.75,11.52,Sl3,75,33
B04,B,wall,1802.00,255.00,-0.26,-0.97,75.00,5.75,4.77,4.87,194.00,0.18,1.28,6.95,0.77,0.00,0.47,27.87,2.28,6.16,0.00,96.40,36.93,12.33,65.65,22.51,11.84,Sl3,80,30
B05,B,wall,1802.00,285.00,0.26,-0.97,82.50,5.54,4.47,4.81,73.00,0.07,0.70,10.30,2.42,0.00,0.29,14.08,1.98,4.41,0.19,87.06,23.74,2.83,67.52,26.25,6.24,Su3,75,27
B05,B,wall,1793.00,310.00,0.64,-0.77,1.50,5.58,4.18,4.53,39.00,0.03,0.29,8.97,8.59,0.00,0.18,6.55,0.39,1.33,0.00,43.37,17.61,6.30,72.24,21.70,6.07,Sl2,95,36
B06,B,wall,1720.00,215.00,-0.82,-0.57,87.50,4.86,4.02,4.36,244.00,0.08,0.58,7.07,11.99,0.03,0.45,18.73,1.29,6.61,0.51,67.03,40.50,0.00,29.13,35.56,35.30,Lt3,95,35
B06,B,wall,1717.00,210.00,-0.87,-0.50,82.50,5.15,4.15,4.54,83.00,0.13,1.13,8.52,7.60,0.00,0.63,20.77,0.34,3.53,0.00,72.38,33.01,0.00,44.88,33.27,21.85,Ls3,100,27
B07,B,wall,1765.00,195.00,-0.97,-0.26,87.00,5.27,4.15,4.31,70.00,0.07,0.59,8.32,6.56,0.00,0.20,6.20,0.39,1.65,0.00,51.51,15.64,47.81,75.51,17.56,6.93,Sl2,90,24
B07,B,wall,1756.00,200.00,-0.94,-0.34,75.00,5.72,4.93,5.05,151.00,0.14,1.52,10.84,0.16,0.00,0.68,26.88,0.18,2.89,0.00,97.49,30.03,6.29,73.14,18.64,8.22,Sl3,90,36
B08,B,wall,1728.00,175.00,-1.00,0.09,87.00,5.36,4.21,4.51,63.00,0.01,0.00,0.47,6.56,0.00,0.48,21.95,1.68,6.11,0.67,79.84,38.09,0.00,43.69,32.21,24.10,Ls3,95,33
B08,B,wall,1724.00,202.50,-0.92,-0.38,89.00,5.20,4.12,4.42,67.00,0.12,1.14,9.14,8.72,0.00,0.41,15.29,0.64,3.37,0.06,65.94,29.34,14.69,53.57,28.94,17.49,Ls4,90,30
B09,B,wall,1727.00,215.00,-0.82,-0.57,88.00,5.34,4.09,4.26,33.00,0.07,0.61,9.14,17.16,0.00,0.31,12.83,1.56,4.03,0.87,51.63,37.36,0.00,40.50,31.96,27.54,Lt2,75,28
B09,B,wall,1725.00,210.00,-0.87,-0.50,82.50,5.17,4.10,4.40,73.00,0.09,0.82,8.92,6.73,0.00,0.52,16.71,0.92,3.12,0.00,70.35,28.58,0.00,69.86,19.47,10.67,Sl3,90,32
C01,C,wall,1714.00,250.00,-0.34,-0.94,85.00,5.58,4.24,4.68,43.00,0.04,0.53,12.00,5.15,0.01,0.24,16.11,2.33,4.87,0.57,80.23,29.76,6.02,59.12,24.51,16.38,Sl4,55,32
C01,C,wall,1711.00,212.50,-0.84,-0.54,80.00,5.19,4.41,4.70,281.00,0.13,1.23,9.37,1.53,0.00,0.56,23.35,2.47,5.29,0.00,93.03,33.35,57.09,72.18,20.89,6.93,Sl2,85,25
C02,C,wall,1715.00,232.50,-0.61,-0.79,82.50,5.70,4.86,4.99,100.00,0.11,1.02,9.29,0.00,0.00,0.46,27.33,2.21,4.74,0.00,98.99,34.47,63.57,65.40,26.05,8.54,Sl3,70,22
C02,C,wall,1715.00,205.00,-0.91,-0.42,82.50,5.71,4.68,4.89,81.00,0.10,0.89,8.94,0.48,0.00,0.47,23.24,2.49,3.61,0.00,96.43,29.45,41.97,65.38,22.75,11.87,Sl3,70,26
C03,C,wall,1644.00,205.00,-0.91,-0.42,87.50,4.99,4.11,4.51,313.00,0.09,0.80,8.59,10.94,0.02,0.06,16.36,0.47,2.52,0.83,63.00,32.03,28.37,48.17,33.48,18.35,Ls3,20,19
C03,C,wall,1644.00,195.00,-0.97,-0.26,89.00,5.72,4.25,4.66,42.00,0.08,0.65,7.86,6.72,0.00,0.15,12.97,0.29,2.49,0.00,67.29,23.15,10.25,57.89,25.92,16.19,Sl4,21,14
C04,C,wall,1653.00,235.00,-0.57,-0.82,87.00,5.59,4.29,4.62,34.00,0.06,0.51,9.15,4.83,0.02,0.17,13.09,0.84,2.06,0.36,74.83,21.87,9.77,62.02,24.89,13.09,Sl4,55,27
C04,C,wall,1654.00,235.00,-0.57,-0.82,87.50,5.80,4.33,4.73,33.00,0.08,0.59,7.80,5.35,0.00,0.16,9.24,0.16,1.51,0.00,62.52,16.16,23.01,61.13,25.17,13.69,Sl4,50,26
C05,C,wall,1524.00,200.00,-0.94,-0.34,88.00,5.63,4.15,4.29,23.00,0.06,0.55,9.39,7.71,0.01,0.15,13.93,0.76,3.75,1.03,53.23,27.92,0.00,52.87,28.63,18.50,Ls4,85,29
C05,C,wall,1525.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C07,C,wall,1806.00,180.00,-1.00,0.00,89.00,5.17,4.10,4.14,27.00,0.07,0.65,9.88,15.45,0.06,0.37,8.09,0.92,3.76,0.48,44.34,29.87,0.00,58.25,24.12,17.63,Ls4,65,32
C07,C,wall,1806.00,170.00,-0.98,0.17,87.50,5.41,4.19,4.30,21.00,0.04,0.33,9.50,9.29,0.01,0.20,9.75,1.01,4.04,0.51,60.25,25.40,0.00,62.82,26.78,10.40,Sl3,95,30
C08,C,wall,1830.00,210.00,-0.87,-0.50,90.00,5.70,4.36,4.61,27.00,0.06,0.59,9.32,8.35,0.02,0.16,7.66,1.02,2.05,0.78,56.20,20.47,32.46,68.20,22.36,9.44,Sl3,70,29
C08,C,wall,1835.00,195.00,-0.97,-0.26,89.00,5.59,4.42,4.62,29.00,0.06,0.52,9.35,4.83,0.00,0.16,11.40,1.38,3.30,0.51,75.76,21.89,24.21,69.29,21.38,9.32,Sl3,75,33
C09,C,wall,1826.00,230.00,-0.64,-0.77,88.00,5.58,4.35,4.63,34.00,0.09,0.85,9.72,9.26,0.01,0.25,13.32,2.31,3.77,0.19,66.29,29.54,13.00,57.50,25.72,16.79,Sl4,85,30
C09,C,wall,1826.00,180.00,-1.00,0.00,89.00,5.20,4.38,4.36,36.00,0.08,0.76,9.09,9.97,0.01,0.12,2.92,0.66,0.82,0.15,30.11,15.10,19.90,69.89,21.57,8.55,Sl3,30,14
